edge_id,src,dst,kind,contract,relation
e00001,ecommerce.cartivo_customer,ecommerce.cartivo_order,lookup,ecommerce.cartivo_customer@1,ecommerce.cartivo_customer
e00002,ecommerce.cartivo_customer,ecommerce.customer,source,ecommerce.cartivo_customer@1,ecommerce.cartivo_customer
e00003,ecommerce.cartivo_customer_extract,ecommerce.cartivo_customer,source,ecommerce.cartivo_customer_extract@1,ecommerce.cartivo_customer_extract
e00004,ecommerce.cartivo_order,ecommerce.order,source,ecommerce.cartivo_order@1,ecommerce.cartivo_order
e00005,ecommerce.cartivo_order_extract,ecommerce.cartivo_order,source,ecommerce.cartivo_order_extract@1,ecommerce.cartivo_order_extract
e00006,ecommerce.cartivo_order_line,ecommerce.order_line,source,ecommerce.cartivo_order_line@1,ecommerce.cartivo_order_line
e00007,ecommerce.cartivo_order_line_extract,ecommerce.cartivo_order_line,source,ecommerce.cartivo_order_line_extract@1,ecommerce.cartivo_order_line_extract
e00008,ecommerce.cartivo_product,ecommerce.cartivo_order_line,lookup,ecommerce.cartivo_product@1,ecommerce.cartivo_product
e00009,ecommerce.cartivo_product,ecommerce.product,source,ecommerce.cartivo_product@1,ecommerce.cartivo_product
e00010,ecommerce.cartivo_product_extract,ecommerce.cartivo_product,source,ecommerce.cartivo_product_extract@1,ecommerce.cartivo_product_extract
e00011,ecommerce.customer,ecommerce.customer_interface,source,ecommerce.customer@1,ecommerce.customer
e00012,ecommerce.customer,ecommerce.order,lookup,ecommerce.customer@1,ecommerce.customer
e00013,ecommerce.customer,ecommerce.order_customer,source,ecommerce.customer@1,ecommerce.customer
e00014,ecommerce.customer,ecommerce.order_star,lookup,ecommerce.customer@1,ecommerce.customer
e00015,ecommerce.mercaro_customer,ecommerce.customer,source,ecommerce.mercaro_customer@1,ecommerce.mercaro_customer
e00016,ecommerce.mercaro_customer,ecommerce.mercaro_order,lookup,ecommerce.mercaro_customer@1,ecommerce.mercaro_customer
e00017,ecommerce.mercaro_customer_extract,ecommerce.mercaro_customer,source,ecommerce.mercaro_customer_extract@1,ecommerce.mercaro_customer_extract
e00018,ecommerce.mercaro_order,ecommerce.order,source,ecommerce.mercaro_order@1,ecommerce.mercaro_order
e00019,ecommerce.mercaro_order_extract,ecommerce.mercaro_order,source,ecommerce.mercaro_order_extract@1,ecommerce.mercaro_order_extract
e00020,ecommerce.mercaro_order_line,ecommerce.order_line,source,ecommerce.mercaro_order_line@1,ecommerce.mercaro_order_line
e00021,ecommerce.mercaro_order_line_extract,ecommerce.mercaro_order_line,source,ecommerce.mercaro_order_line_extract@1,ecommerce.mercaro_order_line_extract
e00022,ecommerce.mercaro_product,ecommerce.mercaro_order_line,lookup,ecommerce.mercaro_product@1,ecommerce.mercaro_product
e00023,ecommerce.mercaro_product,ecommerce.product,source,ecommerce.mercaro_product@1,ecommerce.mercaro_product
e00024,ecommerce.mercaro_product_extract,ecommerce.mercaro_product,source,ecommerce.mercaro_product_extract@1,ecommerce.mercaro_product_extract
e00025,ecommerce.order,ecommerce.order_customer,source,ecommerce.order@1,ecommerce.order
e00026,ecommerce.order,ecommerce.order_line_detail,source,ecommerce.order@1,ecommerce.order
e00027,ecommerce.order_line,ecommerce.order_line_product,source,ecommerce.order_line@1,ecommerce.order_line
e00028,ecommerce.order_line_detail,ecommerce.order_star,source,ecommerce.order_line_detail@1,ecommerce.order_line_detail
e00029,ecommerce.order_line_product,ecommerce.order_line_detail,source,ecommerce.order_line_product@1,ecommerce.order_line_product
e00030,ecommerce.order_star,ecommerce.order_summary,source,ecommerce.order_star@1,ecommerce.order_star__fact_order_line
e00031,ecommerce.product,ecommerce.order_line_product,source,ecommerce.product@1,ecommerce.product
