edge_id,product,target_field,source_kind,source_product,source,occurrence,transform
f00001,ecommerce.cartivo_customer,source_record_id,field,ecommerce.cartivo_customer,cartivo_record_id,steps[2]:schema_transform,schema_transform
f00002,ecommerce.cartivo_customer,source_customer_id,field,ecommerce.cartivo_customer,cartivo_customer_id,steps[2]:schema_transform,schema_transform
f00003,ecommerce.cartivo_customer,as_of_date,field,ecommerce.cartivo_customer,as_of_date,steps[2]:schema_transform,schema_transform
f00004,ecommerce.cartivo_customer,source_system,expression,ecommerce.cartivo_customer,'cartivo',steps[3]:calculated_fields,calculated_fields
f00005,ecommerce.cartivo_customer,normalised_email,field,ecommerce.cartivo_customer,email,steps[3]:calculated_fields,calculated_fields
f00006,ecommerce.cartivo_customer,customer_business_key,field,ecommerce.cartivo_customer,loyalty_id,steps[3]:calculated_fields,calculated_fields
f00007,ecommerce.cartivo_customer,customer_business_key,field,ecommerce.cartivo_customer,email,steps[3]:calculated_fields,calculated_fields
f00008,ecommerce.cartivo_customer,customer_email_domain,rule,ecommerce.cartivo_customer,customer_email_domain_v1@1,steps[3]:calculated_fields,calculated_fields
f00009,ecommerce.cartivo_customer,buyer_segment,expression,ecommerce.cartivo_customer,null,steps[3]:calculated_fields,calculated_fields
f00010,ecommerce.cartivo_product,source_record_id,field,ecommerce.cartivo_product,cartivo_record_id,steps[2]:schema_transform,schema_transform
f00011,ecommerce.cartivo_product,source_product_id,field,ecommerce.cartivo_product,cartivo_product_id,steps[2]:schema_transform,schema_transform
f00012,ecommerce.cartivo_product,product_code,field,ecommerce.cartivo_product,shared_product_code,steps[2]:schema_transform,schema_transform
f00013,ecommerce.cartivo_product,list_price,field,ecommerce.cartivo_product,list_price,steps[2]:schema_transform,schema_transform
f00014,ecommerce.cartivo_product,as_of_date,field,ecommerce.cartivo_product,as_of_date,steps[2]:schema_transform,schema_transform
f00015,ecommerce.cartivo_product,source_system,expression,ecommerce.cartivo_product,'cartivo',steps[3]:calculated_fields,calculated_fields
f00016,ecommerce.mercaro_customer,source_record_id,field,ecommerce.mercaro_customer,mercaro_record_id,steps[2]:schema_transform,schema_transform
f00017,ecommerce.mercaro_customer,source_customer_id,field,ecommerce.mercaro_customer,mercaro_customer_id,steps[2]:schema_transform,schema_transform
f00018,ecommerce.mercaro_customer,as_of_date,field,ecommerce.mercaro_customer,as_of_date,steps[2]:schema_transform,schema_transform
f00019,ecommerce.mercaro_customer,source_system,expression,ecommerce.mercaro_customer,'mercaro',steps[3]:calculated_fields,calculated_fields
f00020,ecommerce.mercaro_customer,normalised_email,field,ecommerce.mercaro_customer,email,steps[3]:calculated_fields,calculated_fields
f00021,ecommerce.mercaro_customer,customer_business_key,field,ecommerce.mercaro_customer,loyalty_id,steps[3]:calculated_fields,calculated_fields
f00022,ecommerce.mercaro_customer,customer_business_key,field,ecommerce.mercaro_customer,email,steps[3]:calculated_fields,calculated_fields
f00023,ecommerce.mercaro_customer,customer_email_domain,rule,ecommerce.mercaro_customer,customer_email_domain_v1@1,steps[3]:calculated_fields,calculated_fields
f00024,ecommerce.mercaro_customer,phone,expression,ecommerce.mercaro_customer,null,steps[3]:calculated_fields,calculated_fields
f00025,ecommerce.mercaro_customer,address_line,expression,ecommerce.mercaro_customer,null,steps[3]:calculated_fields,calculated_fields
f00026,ecommerce.mercaro_customer,postal_code,expression,ecommerce.mercaro_customer,null,steps[3]:calculated_fields,calculated_fields
f00027,ecommerce.mercaro_customer,country,expression,ecommerce.mercaro_customer,null,steps[3]:calculated_fields,calculated_fields
f00028,ecommerce.mercaro_customer,marketing_consent,expression,ecommerce.mercaro_customer,null,steps[3]:calculated_fields,calculated_fields
f00029,ecommerce.mercaro_customer,preferred_channel,expression,ecommerce.mercaro_customer,null,steps[3]:calculated_fields,calculated_fields
f00030,ecommerce.mercaro_product,source_record_id,field,ecommerce.mercaro_product,mercaro_record_id,steps[2]:schema_transform,schema_transform
f00031,ecommerce.mercaro_product,source_product_id,field,ecommerce.mercaro_product,mercaro_product_id,steps[2]:schema_transform,schema_transform
f00032,ecommerce.mercaro_product,product_code,field,ecommerce.mercaro_product,shared_product_code,steps[2]:schema_transform,schema_transform
f00033,ecommerce.mercaro_product,list_price,field,ecommerce.mercaro_product,list_price,steps[2]:schema_transform,schema_transform
f00034,ecommerce.mercaro_product,as_of_date,field,ecommerce.mercaro_product,as_of_date,steps[2]:schema_transform,schema_transform
f00035,ecommerce.mercaro_product,source_system,expression,ecommerce.mercaro_product,'mercaro',steps[3]:calculated_fields,calculated_fields
f00036,ecommerce.relatio_customer,source_record_id,field,ecommerce.relatio_customer,relatio_record_id,steps[2]:schema_transform,schema_transform
f00037,ecommerce.relatio_customer,source_customer_id,field,ecommerce.relatio_customer,relatio_customer_id,steps[2]:schema_transform,schema_transform
f00038,ecommerce.relatio_customer,as_of_date,field,ecommerce.relatio_customer,as_of_date,steps[2]:schema_transform,schema_transform
f00039,ecommerce.relatio_customer,source_system,expression,ecommerce.relatio_customer,'relatio',steps[3]:calculated_fields,calculated_fields
f00040,ecommerce.relatio_customer,normalised_email,field,ecommerce.relatio_customer,email,steps[3]:calculated_fields,calculated_fields
f00041,ecommerce.relatio_customer,customer_business_key,field,ecommerce.relatio_customer,loyalty_id,steps[3]:calculated_fields,calculated_fields
f00042,ecommerce.relatio_customer,customer_business_key,field,ecommerce.relatio_customer,email,steps[3]:calculated_fields,calculated_fields
