id,name,domain,layer,profile,shape,generation,relations,materialisation,checkpoint
ecommerce.cartivo_customer_extract,cartivo_customer_extract,ecommerce,landed,landing,declared,landing,ecommerce.cartivo_customer_extract,undeclared,false
ecommerce.cartivo_order_extract,cartivo_order_extract,ecommerce,landed,landing,declared,landing,ecommerce.cartivo_order_extract,undeclared,false
ecommerce.cartivo_order_line_extract,cartivo_order_line_extract,ecommerce,landed,landing,declared,landing,ecommerce.cartivo_order_line_extract,undeclared,false
ecommerce.cartivo_product_extract,cartivo_product_extract,ecommerce,landed,landing,declared,landing,ecommerce.cartivo_product_extract,undeclared,false
ecommerce.mercaro_customer_extract,mercaro_customer_extract,ecommerce,landed,landing,declared,landing,ecommerce.mercaro_customer_extract,undeclared,false
ecommerce.mercaro_order_extract,mercaro_order_extract,ecommerce,landed,landing,declared,landing,ecommerce.mercaro_order_extract,undeclared,false
ecommerce.mercaro_order_line_extract,mercaro_order_line_extract,ecommerce,landed,landing,declared,landing,ecommerce.mercaro_order_line_extract,undeclared,false
ecommerce.mercaro_product_extract,mercaro_product_extract,ecommerce,landed,landing,declared,landing,ecommerce.mercaro_product_extract,undeclared,false
ecommerce.relatio_customer_extract,relatio_customer_extract,ecommerce,landed,landing,declared,landing,ecommerce.relatio_customer_extract,undeclared,false
investment.chrono_cash_flow_extract,chrono_cash_flow_extract,investment,landed,landing,declared,landing,investment.chrono_cash_flow_extract,undeclared,false
investment.chrono_fund_extract,chrono_fund_extract,investment,landed,landing,declared,landing,investment.chrono_fund_extract,undeclared,false
investment.chrono_portfolio_company_extract,chrono_portfolio_company_extract,investment,landed,landing,declared,landing,investment.chrono_portfolio_company_extract,undeclared,false
investment.chrono_valuation_extract,chrono_valuation_extract,investment,landed,landing,declared,landing,investment.chrono_valuation_extract,undeclared,false
investment.deal_decision_log,deal_decision_log,investment,landed,landing,declared,landing,investment.deal_decision_log,undeclared,false
investment.meridex_cash_flow_extract,meridex_cash_flow_extract,investment,landed,landing,declared,landing,investment.meridex_cash_flow_extract,undeclared,false
investment.meridex_fund_extract,meridex_fund_extract,investment,landed,landing,declared,landing,investment.meridex_fund_extract,undeclared,false
investment.meridex_fund_nav_extract,meridex_fund_nav_extract,investment,landed,landing,declared,landing,investment.meridex_fund_nav_extract,undeclared,false
investment.meridex_legal_vehicle_extract,meridex_legal_vehicle_extract,investment,landed,landing,declared,landing,investment.meridex_legal_vehicle_extract,undeclared,false
investment.meridex_portfolio_company_extract,meridex_portfolio_company_extract,investment,landed,landing,declared,landing,investment.meridex_portfolio_company_extract,undeclared,false
investment.origo_deal_extract,origo_deal_extract,investment,landed,landing,declared,landing,investment.origo_deal_extract,undeclared,false
investment.portiq_cash_flow_extract,portiq_cash_flow_extract,investment,landed,landing,declared,landing,investment.portiq_cash_flow_extract,undeclared,false
investment.portiq_fund_extract,portiq_fund_extract,investment,landed,landing,declared,landing,investment.portiq_fund_extract,undeclared,false
investment.portiq_portfolio_company_extract,portiq_portfolio_company_extract,investment,landed,landing,declared,landing,investment.portiq_portfolio_company_extract,undeclared,false
investment.vantora_cash_flow_extract,vantora_cash_flow_extract,investment,landed,landing,declared,landing,investment.vantora_cash_flow_extract,undeclared,false
investment.vantora_fund_extract,vantora_fund_extract,investment,landed,landing,declared,landing,investment.vantora_fund_extract,undeclared,false
investment.vantora_gp_extract,vantora_gp_extract,investment,landed,landing,declared,landing,investment.vantora_gp_extract,undeclared,false
investment.vantora_legal_vehicle_extract,vantora_legal_vehicle_extract,investment,landed,landing,declared,landing,investment.vantora_legal_vehicle_extract,undeclared,false
investment.vantora_portfolio_company_extract,vantora_portfolio_company_extract,investment,landed,landing,declared,landing,investment.vantora_portfolio_company_extract,undeclared,false
investment.vantora_succession_event_extract,vantora_succession_event_extract,investment,landed,landing,declared,landing,investment.vantora_succession_event_extract,undeclared,false
investment.vantora_valuation_extract,vantora_valuation_extract,investment,landed,landing,declared,landing,investment.vantora_valuation_extract,undeclared,false
investment.vantora_vehicle_cash_flow_extract,vantora_vehicle_cash_flow_extract,investment,landed,landing,declared,landing,investment.vantora_vehicle_cash_flow_extract,undeclared,false
reference.benchmark_index_returns,benchmark_index_returns,reference,landed,landing,declared,landing,reference.benchmark_index_returns,undeclared,false
reference.customer_overlap_manifest,customer_overlap_manifest,reference,landed,landing,declared,landing,reference.customer_overlap_manifest,undeclared,false
reference.customer_segment_history,customer_segment_history,reference,landed,landing,declared,landing,reference.customer_segment_history,undeclared,false
reference.deal_overlap_manifest,deal_overlap_manifest,reference,landed,landing,declared,landing,reference.deal_overlap_manifest,undeclared,false
reference.deal_stage_history,deal_stage_history,reference,landed,landing,declared,landing,reference.deal_stage_history,undeclared,false
reference.fund_overlap_manifest,fund_overlap_manifest,reference,landed,landing,declared,landing,reference.fund_overlap_manifest,undeclared,false
reference.investment_calendar_dates,investment_calendar_dates,reference,landed,landing,declared,landing,reference.investment_calendar_dates,undeclared,false
reference.investment_classification_history,investment_classification_history,reference,landed,landing,declared,landing,reference.investment_classification_history,undeclared,false
reference.investment_classification_type,investment_classification_type,reference,landed,landing,declared,landing,reference.investment_classification_type,undeclared,false
reference.investment_classification_value,investment_classification_value,reference,landed,landing,declared,landing,reference.investment_classification_value,undeclared,false
ecommerce.cartivo_customer,cartivo_customer,ecommerce,silver,derivation,declared,first,ecommerce.cartivo_customer,undeclared,false
ecommerce.cartivo_product,cartivo_product,ecommerce,silver,derivation,declared,first,ecommerce.cartivo_product,undeclared,false
ecommerce.mercaro_customer,mercaro_customer,ecommerce,silver,derivation,declared,first,ecommerce.mercaro_customer,undeclared,false
ecommerce.mercaro_product,mercaro_product,ecommerce,silver,derivation,declared,first,ecommerce.mercaro_product,undeclared,false
ecommerce.relatio_customer,relatio_customer,ecommerce,silver,derivation,declared,first,ecommerce.relatio_customer,undeclared,false
investment.chrono_cash_flow,chrono_cash_flow,investment,silver,derivation,declared,first,investment.chrono_cash_flow,undeclared,false
investment.chrono_fund,chrono_fund,investment,silver,derivation,declared,first,investment.chrono_fund,undeclared,false
investment.chrono_gp,chrono_gp,investment,silver,derivation,declared,first,investment.chrono_gp,undeclared,false
investment.chrono_portfolio_company,chrono_portfolio_company,investment,silver,derivation,declared,first,investment.chrono_portfolio_company,undeclared,false
investment.chrono_valuation,chrono_valuation,investment,silver,derivation,declared,first,investment.chrono_valuation,undeclared,false
investment.deal_decision_current,deal_decision_current,investment,silver,derivation,declared,first,investment.deal_decision_current,table,true
investment.meridex_cash_flow,meridex_cash_flow,investment,silver,derivation,declared,first,investment.meridex_cash_flow,undeclared,false
investment.meridex_fund,meridex_fund,investment,silver,derivation,declared,first,investment.meridex_fund,undeclared,false
investment.meridex_fund_nav,meridex_fund_nav,investment,silver,derivation,declared,first,investment.meridex_fund_nav,undeclared,false
investment.meridex_gp,meridex_gp,investment,silver,derivation,declared,first,investment.meridex_gp,undeclared,false
investment.meridex_legal_vehicle,meridex_legal_vehicle,investment,silver,derivation,declared,first,investment.meridex_legal_vehicle,undeclared,false
investment.meridex_portfolio_company,meridex_portfolio_company,investment,silver,derivation,declared,first,investment.meridex_portfolio_company,undeclared,false
investment.origo_deal,origo_deal,investment,silver,derivation,declared,first,investment.origo_deal,undeclared,false
investment.portiq_cash_flow,portiq_cash_flow,investment,silver,derivation,declared,first,investment.portiq_cash_flow,undeclared,false
investment.portiq_fund,portiq_fund,investment,silver,derivation,declared,first,investment.portiq_fund,undeclared,false
investment.portiq_gp,portiq_gp,investment,silver,derivation,declared,first,investment.portiq_gp,undeclared,false
investment.portiq_portfolio_company,portiq_portfolio_company,investment,silver,derivation,declared,first,investment.portiq_portfolio_company,undeclared,false
investment.vantora_cash_flow,vantora_cash_flow,investment,silver,derivation,declared,first,investment.vantora_cash_flow,undeclared,false
investment.vantora_fund,vantora_fund,investment,silver,derivation,declared,first,investment.vantora_fund,undeclared,false
investment.vantora_gp,vantora_gp,investment,silver,derivation,declared,first,investment.vantora_gp,undeclared,false
investment.vantora_gp_succession,vantora_gp_succession,investment,silver,derivation,declared,first,investment.vantora_gp_succession,undeclared,false
investment.vantora_legal_vehicle,vantora_legal_vehicle,investment,silver,derivation,declared,first,investment.vantora_legal_vehicle,undeclared,false
investment.vantora_portfolio_company,vantora_portfolio_company,investment,silver,derivation,declared,first,investment.vantora_portfolio_company,undeclared,false
investment.vantora_valuation,vantora_valuation,investment,silver,derivation,declared,first,investment.vantora_valuation,undeclared,false
investment.vantora_vehicle_cash_flow,vantora_vehicle_cash_flow,investment,silver,derivation,declared,first,investment.vantora_vehicle_cash_flow,undeclared,false
reference.benchmark_index,benchmark_index,reference,silver,derivation,declared,first,reference.benchmark_index,undeclared,false
reference.customer_identity,customer_identity,reference,silver,derivation,declared,first,reference.customer_identity,undeclared,false
reference.customer_segment,customer_segment,reference,silver,derivation,declared,first,reference.customer_segment,undeclared,false
reference.deal_identity,deal_identity,reference,silver,derivation,declared,first,reference.deal_identity,undeclared,false
reference.fund_identity,fund_identity,reference,silver,derivation,declared,first,reference.fund_identity,undeclared,false
reference.investment_calendar,investment_calendar,reference,silver,derivation,declared,first,reference.investment_calendar,undeclared,false
reference.investment_classification,investment_classification,reference,silver,derivation,declared,first,reference.investment_classification,undeclared,false
ecommerce.cartivo_order,cartivo_order,ecommerce,silver,derivation,declared,first,ecommerce.cartivo_order,undeclared,false
ecommerce.cartivo_order_line,cartivo_order_line,ecommerce,silver,derivation,declared,first,ecommerce.cartivo_order_line,undeclared,false
ecommerce.customer,customer,ecommerce,silver,integration,declared,consolidating,ecommerce.customer,table,true
ecommerce.mercaro_order,mercaro_order,ecommerce,silver,derivation,declared,first,ecommerce.mercaro_order,undeclared,false
ecommerce.mercaro_order_line,mercaro_order_line,ecommerce,silver,derivation,declared,first,ecommerce.mercaro_order_line,undeclared,false
ecommerce.product,product,ecommerce,silver,integration,declared,consolidating,ecommerce.product,table,true
investment.gp_conformed,gp_conformed,investment,silver,consolidation,declared,consolidating,investment.gp_conformed,table,true
investment.portfolio_company_conformed,portfolio_company_conformed,investment,silver,consolidation,declared,consolidating,investment.portfolio_company_conformed,table,true
reference.deal_stage,deal_stage,reference,silver,derivation,declared,first,reference.deal_stage,undeclared,false
reference.fund_department,fund_department,reference,silver,derivation,declared,first,reference.fund_department,undeclared,false
ecommerce.customer_interface,customer_interface,ecommerce,gold,serving,canonical,later,ecommerce.customer_interface__customer;ecommerce.customer_interface__customer_contact,undeclared,false
ecommerce.order,order,ecommerce,silver,integration,declared,consolidating,ecommerce.order,table,true
ecommerce.order_line,order_line,ecommerce,silver,consolidation,declared,consolidating,ecommerce.order_line,table,true
ecommerce.product_interface,product_interface,ecommerce,gold,serving,canonical,later,ecommerce.product_interface__product,undeclared,false
investment.gp_name_index,gp_name_index,investment,silver,derivation,declared,later,investment.gp_name_index,undeclared,false
investment.gp_succession,gp_succession,investment,silver,derivation,declared,later,investment.gp_succession,undeclared,false
investment.gp_vault,gp_vault,investment,silver,integration,data_vault,later,investment.gp_vault__hub_gp;investment.gp_vault__sat_gp_detail;investment.gp_vault__golden_gp;investment.gp_vault__pit_gp,table,true
investment.portfolio_company_vault,portfolio_company_vault,investment,silver,integration,data_vault,later,investment.portfolio_company_vault__hub_portfolio_company;investment.portfolio_company_vault__sat_portfolio_company_detail;investment.portfolio_company_vault__sat_portfolio_company_observed;investment.portfolio_company_vault__golden_portfolio_company;investment.portfolio_company_vault__pit_portfolio_company,table,true
reference.deal_stage_current,deal_stage_current,reference,silver,derivation,declared,later,reference.deal_stage_current,undeclared,false
ecommerce.order_customer,order_customer,ecommerce,silver,consolidation,declared,consolidating,ecommerce.order_customer,table,true
ecommerce.order_line_product,order_line_product,ecommerce,silver,consolidation,declared,consolidating,ecommerce.order_line_product,table,true
investment.company_external_index,company_external_index,investment,silver,derivation,declared,later,investment.company_external_index,undeclared,false
investment.fund_conformed,fund_conformed,investment,silver,consolidation,declared,consolidating,investment.fund_conformed,table,true
investment.gp_canonical,gp_canonical,investment,gold,serving,canonical,later,investment.gp_canonical__gp,undeclared,false
investment.portfolio_company_canonical,portfolio_company_canonical,investment,gold,serving,canonical,later,investment.portfolio_company_canonical__portfolio_company,undeclared,false
ecommerce.order_line_detail,order_line_detail,ecommerce,silver,consolidation,declared,consolidating,ecommerce.order_line_detail,table,true
investment.fund_cash_flow_conformed,fund_cash_flow_conformed,investment,silver,consolidation,declared,consolidating,investment.fund_cash_flow_conformed,table,true
investment.fund_investment_basis,fund_investment_basis,investment,silver,derivation,declared,later,investment.fund_investment_basis,undeclared,false
investment.fund_vault,fund_vault,investment,silver,integration,data_vault,later,investment.fund_vault__hub_fund;investment.fund_vault__hub_gp;investment.fund_vault__link_fund_gp;investment.fund_vault__sat_fund_detail;investment.fund_vault__sat_fund_observed;investment.fund_vault__golden_fund;investment.fund_vault__pit_fund,table,true
investment.holding_valuation_conformed,holding_valuation_conformed,investment,silver,consolidation,declared,consolidating,investment.holding_valuation_conformed,table,true
investment.legal_vehicle_conformed,legal_vehicle_conformed,investment,silver,consolidation,declared,consolidating,investment.legal_vehicle_conformed,table,true
ecommerce.order_star,order_star,ecommerce,gold,serving,dimensional,later,ecommerce.order_star__dim_customer;ecommerce.order_star__dim_customer_segment;ecommerce.order_star__dim_product;ecommerce.order_star__fact_order_line,undeclared,false
investment.fund_canonical,fund_canonical,investment,gold,serving,canonical,later,investment.fund_canonical__fund;investment.fund_canonical__fund_identity,undeclared,false
investment.fund_external_index,fund_external_index,investment,silver,derivation,declared,later,investment.fund_external_index,undeclared,false
investment.fund_nav_resolved,fund_nav_resolved,investment,silver,derivation,declared,later,investment.fund_nav_resolved,undeclared,false
investment.legal_vehicle_cash_flow,legal_vehicle_cash_flow,investment,silver,derivation,declared,later,investment.legal_vehicle_cash_flow,undeclared,false
