id,product,occurrence,stage,kind,subject,references
v00001,ecommerce.cartivo_customer_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00002,ecommerce.cartivo_customer_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00003,ecommerce.cartivo_order_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00004,ecommerce.cartivo_order_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00005,ecommerce.cartivo_order_line_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00006,ecommerce.cartivo_order_line_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00007,ecommerce.cartivo_product_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00008,ecommerce.cartivo_product_extract,steps[1]:data_validation,,field,cartivo_record_id,
v00009,ecommerce.mercaro_customer_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00010,ecommerce.mercaro_customer_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00011,ecommerce.mercaro_order_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00012,ecommerce.mercaro_order_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00013,ecommerce.mercaro_order_line_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00014,ecommerce.mercaro_order_line_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00015,ecommerce.mercaro_product_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00016,ecommerce.mercaro_product_extract,steps[1]:data_validation,,field,mercaro_record_id,
v00017,ecommerce.relatio_customer_extract,steps[1]:data_validation,,field,relatio_record_id,
v00018,ecommerce.relatio_customer_extract,steps[1]:data_validation,,field,relatio_record_id,
v00019,investment.chrono_cash_flow_extract,steps[1]:data_validation,,field,event_uid,
v00020,investment.chrono_cash_flow_extract,steps[1]:data_validation,,field,event_uid,
v00021,investment.chrono_cash_flow_extract,steps[1]:data_validation,,field,vehicle_code,
v00022,investment.chrono_cash_flow_extract,steps[1]:data_validation,,field,event_date,
v00023,investment.chrono_fund_extract,steps[1]:data_validation,,field,chrono_row_uid,
v00024,investment.chrono_fund_extract,steps[1]:data_validation,,field,chrono_row_uid,
v00025,investment.chrono_fund_extract,steps[1]:data_validation,,field,chrono_vehicle_code,
v00026,investment.chrono_fund_extract,steps[1]:data_validation,,field,vehicle_display_name,
v00027,investment.chrono_portfolio_company_extract,steps[1]:data_validation,,field,asset_uid,
v00028,investment.chrono_portfolio_company_extract,steps[1]:data_validation,,field,asset_uid,
v00029,investment.chrono_portfolio_company_extract,steps[1]:data_validation,,field,issuer_name_text,
v00030,investment.chrono_valuation_extract,steps[1]:data_validation,,field,mark_uid,
v00031,investment.chrono_valuation_extract,steps[1]:data_validation,,field,mark_uid,
v00032,investment.chrono_valuation_extract,steps[1]:data_validation,,field,vehicle_code,
v00033,investment.chrono_valuation_extract,steps[1]:data_validation,,field,mark_date,
v00034,investment.deal_decision_log,steps[1]:data_validation,,field,decision_id,
v00035,investment.deal_decision_log,steps[1]:data_validation,,field,decision_id,
v00036,investment.deal_decision_log,steps[1]:data_validation,,field,external_deal_id,
v00037,investment.deal_decision_log,steps[1]:data_validation,,field,decided_at,
v00038,investment.meridex_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_id,
v00039,investment.meridex_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_id,
v00040,investment.meridex_cash_flow_extract,steps[1]:data_validation,,field,meridex_fund_id,
v00041,investment.meridex_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_date,
v00042,investment.meridex_fund_extract,steps[1]:data_validation,,field,meridex_fund_id,
v00043,investment.meridex_fund_extract,steps[1]:data_validation,,field,meridex_fund_id,
v00044,investment.meridex_fund_extract,steps[1]:data_validation,,field,fund_name,
v00045,investment.meridex_fund_nav_extract,steps[1]:data_validation,,field,nav_id,
v00046,investment.meridex_fund_nav_extract,steps[1]:data_validation,,field,nav_id,
v00047,investment.meridex_fund_nav_extract,steps[1]:data_validation,,field,meridex_fund_id,
v00048,investment.meridex_fund_nav_extract,steps[1]:data_validation,,field,nav_date,
v00049,investment.meridex_legal_vehicle_extract,steps[1]:data_validation,,field,vehicle_id,
v00050,investment.meridex_legal_vehicle_extract,steps[1]:data_validation,,field,vehicle_id,
v00051,investment.meridex_legal_vehicle_extract,steps[1]:data_validation,,field,vehicle_name,
v00052,investment.meridex_portfolio_company_extract,steps[1]:data_validation,,field,meridex_company_id,
v00053,investment.meridex_portfolio_company_extract,steps[1]:data_validation,,field,meridex_company_id,
v00054,investment.meridex_portfolio_company_extract,steps[1]:data_validation,,field,company_name,
v00055,investment.origo_deal_extract,steps[1]:data_validation,,field,deal_id,
v00056,investment.origo_deal_extract,steps[1]:data_validation,,field,deal_id,
v00057,investment.origo_deal_extract,steps[1]:data_validation,,field,deal_name,
v00058,investment.origo_deal_extract,steps[1]:data_validation,,field,sourced_date,
v00059,investment.portiq_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_id,
v00060,investment.portiq_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_id,
v00061,investment.portiq_cash_flow_extract,steps[1]:data_validation,,field,portiq_fund_id,
v00062,investment.portiq_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_date,
v00063,investment.portiq_fund_extract,steps[1]:data_validation,,field,portiq_fund_id,
v00064,investment.portiq_fund_extract,steps[1]:data_validation,,field,portiq_fund_id,
v00065,investment.portiq_fund_extract,steps[1]:data_validation,,field,fund_name,
v00066,investment.portiq_portfolio_company_extract,steps[1]:data_validation,,field,portiq_company_id,
v00067,investment.portiq_portfolio_company_extract,steps[1]:data_validation,,field,portiq_company_id,
v00068,investment.portiq_portfolio_company_extract,steps[1]:data_validation,,field,company_name,
v00069,investment.vantora_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_id,
v00070,investment.vantora_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_id,
v00071,investment.vantora_cash_flow_extract,steps[1]:data_validation,,field,vantora_fund_id,
v00072,investment.vantora_cash_flow_extract,steps[1]:data_validation,,field,cash_flow_date,
v00073,investment.vantora_fund_extract,steps[1]:data_validation,,field,vantora_record_id,
v00074,investment.vantora_fund_extract,steps[1]:data_validation,,field,vantora_record_id,
v00075,investment.vantora_fund_extract,steps[1]:data_validation,,field,vantora_fund_id,
v00076,investment.vantora_fund_extract,steps[1]:data_validation,,field,fund_name,
v00077,investment.vantora_gp_extract,steps[1]:data_validation,,field,vantora_gp_id,
v00078,investment.vantora_gp_extract,steps[1]:data_validation,,field,vantora_gp_id,
v00079,investment.vantora_gp_extract,steps[1]:data_validation,,field,gp_name,
v00080,investment.vantora_legal_vehicle_extract,steps[1]:data_validation,,field,vehicle_id,
v00081,investment.vantora_legal_vehicle_extract,steps[1]:data_validation,,field,vehicle_id,
v00082,investment.vantora_legal_vehicle_extract,steps[1]:data_validation,,field,vehicle_name,
v00083,investment.vantora_portfolio_company_extract,steps[1]:data_validation,,field,vantora_company_id,
