entity_type,entity_external_id,classification_type_code,classification_value_code,effective_from,record_source,load_datetime,stage_recorded_at
DEAL,ORIGO-EXT-001,DEAL_STAGE,SOURCED,2025-01-10,seeded_deal_stage,2026-07-14 00:00:00,2025-01-10 00:00:00
DEAL,ORIGO-EXT-001,DEAL_STAGE,SCREENING,2025-01-25,seeded_deal_stage,2026-07-14 00:00:00,2025-01-25 00:00:00
DEAL,ORIGO-EXT-001,DEAL_STAGE,DILIGENCE,2025-02-15,seeded_deal_stage,2026-07-14 00:00:00,2025-02-15 00:00:00
DEAL,ORIGO-EXT-001,DEAL_STAGE,DECISION,2025-03-10,seeded_deal_stage,2026-07-14 00:00:00,2025-03-10 00:00:00
DEAL,ORIGO-EXT-002,DEAL_STAGE,SOURCED,2025-02-20,seeded_deal_stage,2026-07-14 00:00:00,2025-02-20 00:00:00
DEAL,ORIGO-EXT-002,DEAL_STAGE,SCREENING,2025-03-01,seeded_deal_stage,2026-07-14 00:00:00,2025-03-01 00:00:00
DEAL,ORIGO-EXT-002,DEAL_STAGE,DILIGENCE,2025-03-20,seeded_deal_stage,2026-07-14 00:00:00,2025-03-20 00:00:00
DEAL,ORIGO-EXT-002,DEAL_STAGE,DECISION,2025-04-10,seeded_deal_stage,2026-07-14 00:00:00,2025-04-10 00:00:00
DEAL,ORIGO-EXT-002,DEAL_STAGE,COMMITTED,2025-04-25,seeded_deal_stage,2026-07-14 00:00:00,2025-04-25 00:00:00
DEAL,ORIGO-EXT-003,DEAL_STAGE,SOURCED,2025-03-05,seeded_deal_stage,2026-07-14 00:00:00,2025-03-05 00:00:00
DEAL,ORIGO-EXT-003,DEAL_STAGE,SCREENING,2025-03-15,seeded_deal_stage,2026-07-14 00:00:00,2025-03-15 00:00:00
DEAL,ORIGO-EXT-003,DEAL_STAGE,DILIGENCE,2025-04-01,seeded_deal_stage,2026-07-14 00:00:00,2025-04-01 00:00:00
DEAL,ORIGO-EXT-003,DEAL_STAGE,DECISION,2025-04-20,seeded_deal_stage,2026-07-14 00:00:00,2025-04-20 00:00:00
DEAL,ORIGO-EXT-003,DEAL_STAGE,DECLINED,2025-05-01,seeded_deal_stage,2026-07-14 00:00:00,2025-05-01 00:00:00
DEAL,ORIGO-EXT-004,DEAL_STAGE,SOURCED,2025-03-12,seeded_deal_stage,2026-07-14 00:00:00,2025-03-12 00:00:00
DEAL,ORIGO-EXT-004,DEAL_STAGE,SCREENING,2025-03-25,seeded_deal_stage,2026-07-14 00:00:00,2025-03-25 00:00:00
DEAL,ORIGO-EXT-004,DEAL_STAGE,DILIGENCE,2025-03-25,seeded_deal_stage,2026-07-14 00:00:00,2025-03-25 12:00:00
DEAL,ORIGO-EXT-DUP-A,DEAL_STAGE,SOURCED,2025-03-15,seeded_deal_stage,2026-07-14 00:00:00,2025-03-15 00:00:00
DEAL,ORIGO-EXT-DUP-B,DEAL_STAGE,SOURCED,2025-04-01,seeded_deal_stage,2026-07-14 00:00:00,2025-04-01 00:00:00
DEAL,ORIGO-EXT-DUP-B,DEAL_STAGE,SCREENING,2025-04-10,seeded_deal_stage,2026-07-14 00:00:00,2025-04-10 00:00:00
DEAL,ORIGO-EXT-DUP-B,DEAL_STAGE,DILIGENCE,2025-04-20,seeded_deal_stage,2026-07-14 00:00:00,2025-04-20 00:00:00
DEAL,ORIGO-EXT-DUP-B,DEAL_STAGE,DECISION,2025-05-05,seeded_deal_stage,2026-07-14 00:00:00,2025-05-05 00:00:00
