entity_type,entity_external_id,classification_type_code,classification_value_code,effective_from,record_source,load_datetime
FUND,OPENIM-FUND-APEX-II,DEPT,PRIVATE_EQUITY,2021-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-APEX-II,DEPT,INSTITUTIONAL_GROWTH,2025-07-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-APEX-II,SECTOR,GROWTH_EQUITY,2021-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-NORTHSTAR-IV,DEPT,PRIVATE_EQUITY,2020-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-NORTHSTAR-IV,SECTOR,BUYOUT,2020-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-HARBOR-III,DEPT,REAL_ASSETS,2022-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-HARBOR-III,SECTOR,INFRASTRUCTURE,2022-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-ORION-I,DEPT,CREDIT,2023-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-ORION-I,SECTOR,PRIVATE_CREDIT,2023-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-HELIO-I,DEPT,REAL_ASSETS,2025-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-HELIO-I,SECTOR,INFRASTRUCTURE,2025-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-SUMMITBRIDGE-I,DEPT,VENTURE,2024-01-01,seeded_classification,2026-07-13 00:00:00
FUND,OPENIM-FUND-SUMMITBRIDGE-I,SECTOR,EARLY_STAGE,2024-01-01,seeded_classification,2026-07-13 00:00:00
