nav_id,meridex_fund_id,nav_date,nav_usd,called_capital_usd,distributed_capital_usd
SIT-NAV-001,SS-F-77,2025-03-31,126800000,42000000,9500000
SIT-NAV-002,SS-F-77,2025-06-30,129400000,42000000,11300000
SIT-NAV-003,SS-F-77,2025-09-30,133200000,44500000,11300000
SIT-NAV-004,SS-F-77,2025-12-31,136100000,44500000,13500000
SIT-NAV-005,SS-F-88,2025-03-31,168000000,98000000,31000000
SIT-NAV-006,SS-F-88,2025-06-30,171200000,99200000,31000000
SIT-NAV-007,SS-F-88,2025-09-30,176500000,99200000,35100000
SIT-NAV-008,SS-F-99,2025-06-30,81200000,18500000,0
SIT-NAV-009,SS-F-99,2025-09-30,84600000,21500000,900000
SIT-NAV-010,SS-F-101,2025-09-30,83500000,3500000,600000
